id,filtered_words_array,features,label_index
R129,"['action', 'whatever', 'air', 'commercial', 'take', 'same.', 'question', 'mind', 'able', 'rule', 'by.', 'effort', 'level', 'hope', 'trouble', 'fast.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[88,343,474,855,1499,1804,2909,2947,3184,3496,3556,3614,4506,4687,4831,5726,6000,6443,6633,7695,9462],[4.137164559405029,4.137164559405029,5.523458920524919,4.830311739964974,4.019381523748645,4.830311739964974,4.42484663185681,4.270695952029551,2.7826188965997183,3.6516567436233283,2.849310271098391,0.6753425559264385,0.691153161953081,0.6832166123573445,5.117993812416755,3.5085558999826545,3.8187108282864943,3.383392757028649,4.607168188650764,3.8187108282864943,0.691153161953081])",1.0
R227,"['case', 'professional', 'nearly', 'service', 'fact', 'call', 'box', 'seek.', 'ready', 'environmental', 'join', 'memory', 'black', 'draw.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[821,1948,2059,2155,2252,2866,2922,3614,3759,4506,4687,5146,6027,6342,6557,6941,7215,7922,8952,9462],[2.849310271098391,4.830311739964974,2.7200985396183848,4.42484663185681,3.914021008090819,4.137164559405029,4.42484663185681,0.6753425559264385,4.830311739964974,0.691153161953081,0.6832166123573445,4.270695952029551,4.137164559405029,4.270695952029551,3.8187108282864943,3.7316994512968646,4.42484663185681,3.8187108282864943,4.42484663185681,0.691153161953081])",1.0
F231,"['always', 'suggest', 'across', 'fear.', 'system', 'bit', 'know', 'day.', 'treat', 'build', 'near', 'leg', 'look', 'contain.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,1842,1989,3014,3292,3996,5850,5974,6290,7074,7281,7615,7779,7816,7936,8338,8750,9011,9939],[0.691153161953081,2.958509563063383,5.523458920524919,4.019381523748645,3.914021008090819,5.523458920524919,4.137164559405029,0.691153161953081,3.6516567436233283,4.42484663185681,3.0811118851557153,0.6832166123573445,5.117993812416755,4.137164559405029,4.607168188650764,0.691153161953081,0.691153161953081,3.6516567436233283,3.914021008090819,4.607168188650764])",0.0
R066,"['interest', 'leg', 'next.', 'eat', 'around', 'usually', 'dog', 'condition', 'imagine.', 'available', 'side', 'protect.', 'past', 'beat', 'research', 'tell', 'direction.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[70,1850,2475,2569,2990,3614,4506,4687,5328,5844,6197,6290,6944,7276,8693,9026,9275,9432,9462,9547,9564,9781],[4.137164559405029,4.42484663185681,3.914021008090819,3.6516567436233283,3.7316994512968646,0.6753425559264385,0.691153161953081,0.6832166123573445,3.577548771469606,3.7316994512968646,4.270695952029551,4.42484663185681,2.7826188965997183,4.019381523748645,4.830311739964974,5.117993812416755,3.914021008090819,3.8187108282864943,0.691153161953081,5.117993812416755,4.019381523748645,4.137164559405029])",1.0
F095,"['prevent', 'quite', 'modern.', 'serve', 'actually', 'way', 'until.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[78,503,1208,1725,3184,3252,4430,5850,6056,6447,7281,7936,8338,9391],[4.830311739964974,0.691153161953081,2.849310271098391,4.137164559405029,2.7826188965997183,4.270695952029551,4.830311739964974,0.691153161953081,4.019381523748645,3.6516567436233283,0.6832166123573445,0.691153161953081,0.691153161953081,3.7316994512968646])",0.0
R174,"['late', 'fear', 'history', 'prevent', 'water', 'stand.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[2589,3079,3252,3614,4506,4687,6090,6543,6944,9462,9513],[3.383392757028649,4.019381523748645,4.270695952029551,0.6753425559264385,0.691153161953081,0.6832166123573445,4.607168188650764,4.270695952029551,2.7826188965997183,0.691153161953081,3.383392757028649])",1.0
R201,"['fly', 'realize', 'former', 'show', 'life', 'anything', 'state.', 'clearly', 'detail', 'mr', 'every', 'prove', 'pressure.', 'college', 'live', 'interview', 'officer', 'war.', 'scientist', 'standard', 'toward', 'share.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[493,696,740,1143,1582,1770,2114,2647,2967,3032,3194,3477,3614,4019,4160,4506,4687,5214,5944,6035,6219,6226,6749,8057,8238,8929,9462,9681],[4.607168188650764,4.270695952029551,5.523458920524919,4.830311739964974,3.8187108282864943,2.8844015909096608,4.830311739964974,4.270695952029551,4.607168188650764,4.607168188650764,4.270695952029551,4.137164559405029,0.6753425559264385,3.8187108282864943,4.42484663185681,0.691153161953081,0.6832166123573445,4.42484663185681,4.019381523748645,3.4440173788450834,3.125563647726549,3.914021008090819,5.117993812416755,5.523458920524919,4.830311739964974,5.117993812416755,0.691153161953081,3.5085558999826545])",1.0
R072,"['rather', 'late', 'break.', 'election', 'stand', 'region', 'fight', 'subject', 'culture.', 'goal', 'whatever', 'military', 'middle', 'quality', 'plan.', 'town', 'huge', 'world', 'green', 'front.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[132,551,2198,2526,2837,3079,3506,3614,4253,4506,4687,4715,5047,5089,5703,5877,6886,7695,8159,8655,9087,9360,9462,9640,9878],[4.019381523748645,3.914021008090819,4.270695952029551,4.607168188650764,3.8187108282864943,4.019381523748645,4.607168188650764,0.6753425559264385,4.830311739964974,0.691153161953081,0.6832166123573445,4.137164559405029,2.60568818844064,4.270695952029551,4.830311739964974,4.42484663185681,4.137164559405029,3.8187108282864943,4.270695952029551,4.830311739964974,5.117993812416755,4.42484663185681,0.691153161953081,5.117993812416755,4.270695952029551])",1.0
R064,"['admit', 'everyone', 'within', 'purpose.', 'third', 'read', 'play', 'risk.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[2173,3614,4506,4687,6711,7066,7650,8714,8734,8771,8893,9462,9817],[4.270695952029551,0.6753425559264385,0.691153161953081,0.6832166123573445,5.523458920524919,2.849310271098391,4.607168188650764,4.830311739964974,4.830311739964974,3.6516567436233283,3.7316994512968646,0.691153161953081,3.577548771469606])",1.0
F037,"['together', 'painting', 'computer', 'today', 'understand', 'both.', 'share', 'ahead', 'room', 'study', 'course', 'line.', 'heavy', 'others', 'address', 'hold', 'even.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[494,503,1034,1256,2115,2389,3652,3947,4224,4454,5850,6487,6940,7177,7281,7860,7936,8151,8268,8312,8338,8506,8949,9806],[4.019381523748645,0.691153161953081,4.137164559405029,3.125563647726549,5.117993812416755,4.42484663185681,4.42484663185681,4.830311739964974,4.607168188650764,3.914021008090819,0.691153161953081,3.8187108282864943,3.8187108282864943,5.523458920524919,0.6832166123573445,2.849310271098391,0.691153161953081,4.019381523748645,4.019381523748645,3.914021008090819,0.691153161953081,4.830311739964974,4.270695952029551,3.914021008090819])",0.0
